CompetitorName,ProductID,CompetitorPrice,DateChecked
BestBuy,P047,1471.58,2024-02-01 13:43:03.783783783
Walmart,P043,714.11,2024-05-18 06:00:21.621621620
Walmart,P006,318.05,2024-04-24 03:44:51.891891892
Walmart,P046,1231.53,2024-04-21 11:56:23.783783784
Target,P012,400.08,2024-01-05 03:41:58.918918918
Costco,P006,1165.08,2024-02-26 07:55:40.540540540
Walmart,P037,1629.17,2024-03-29 13:35:51.351351351
Walmart,P035,1769.42,2024-03-15 02:38:33.513513513
Target,P007,1393.5,2024-02-15 04:43:57.837837837
Costco,P014,1498.01,2024-04-01 01:25:02.702702702
Target,P016,106.87,2024-05-19 09:55:18.918918918
BestBuy,P012,996.46,2024-04-02 17:17:50.270270270
Costco,P042,880.49,2024-04-28 15:25:24.324324324
BestBuy,P011,799.09,2024-03-21 14:10:27.027027027
Walmart,P008,493.33,2024-05-01 19:11:42.702702702
Costco,P020,1914.93,2024-01-13 07:06:39.999999999
Walmart,P044,497.85,2024-04-09 16:47:34.054054054
Target,P025,1169.96,2024-03-05 07:21:04.864864865
BestBuy,P040,241.72,2024-04-18 12:09:22.162162162
Walmart,P012,281.65,2024-02-01 05:44:30.270270270
Walmart,P040,760.77,2024-03-03 19:27:34.054054054
Target,P039,1328.34,2024-02-25 19:57:50.270270270
Walmart,P042,872.42,2024-02-09 17:07:44.864864864
Target,P041,1810.64,2024-05-18 06:00:21.621621620
Costco,P017,1567.5,2024-02-29 23:39:49.189189189
Walmart,P003,1322.94,2024-06-14 12:02:09.729729728
Walmart,P008,966.82,2024-05-16 02:09:43.783783784
Costco,P023,121.23,2024-02-02 21:37:17.837837837
Costco,P036,1242.94,2024-04-02 01:20:43.243243243
BestBuy,P010,96.74,2024-03-14 14:40:43.243243243
BestBuy,P019,425.17,2024-02-03 17:33:41.621621621
Walmart,P022,546.41,2024-03-21 18:09:43.783783783
Costco,P006,137.65,2024-03-03 23:26:50.810810810
Costco,P029,1751.99,2024-01-12 07:10:59.459459459
BestBuy,P050,867.29,2024-05-14 22:14:46.486486486
BestBuy,P029,544.99,2024-03-20 06:16:12.972972973
Walmart,P034,1659.71,2024-04-08 16:51:53.513513513
Target,P037,1392.06,2024-06-04 16:44:41.081081080
BestBuy,P015,1871.39,2024-05-01 03:14:35.675675676
Walmart,P015,261.41,2024-03-20 06:16:12.972972973
Target,P013,277.14,2024-04-13 16:30:16.216216216
Walmart,P028,330.77,2024-01-03 15:48:28.108108108
Walmart,P001,498.4,2024-04-05 01:07:44.864864864
Costco,P028,1449.98,2024-03-12 10:50:05.405405405
BestBuy,P009,1738.9,2024-01-26 14:09:00.540540540
Costco,P041,1357.82,2024-05-18 13:58:55.135135134
Target,P049,1392.53,2024-05-14 18:15:29.729729730
Walmart,P018,854.88,2024-01-28 14:00:21.621621621
Costco,P030,1367.95,2024-04-25 07:39:49.189189188
Target,P019,698.95,2024-01-09 15:22:31.351351351
Target,P017,1360.59,2024-02-13 00:53:20.000000000
BestBuy,P035,170.89,2024-01-25 14:13:19.999999999
Target,P001,1246.56,2024-04-29 15:21:04.864864864
Costco,P002,1242.89,2024-04-17 04:15:08.108108108
Target,P001,687.26,2024-02-09 01:10:37.837837837
BestBuy,P004,575.0,2024-03-12 18:48:38.918918919
Costco,P049,1722.93,2024-04-17 04:15:08.108108108
BestBuy,P032,1385.03,2024-04-03 17:13:30.810810810
Target,P008,996.72,2024-05-03 15:03:47.027027026
BestBuy,P012,818.95,2024-02-24 16:02:52.972972973
Costco,P012,1109.88,2024-02-12 12:55:29.729729729
Target,P022,1255.65,2024-05-08 06:43:36.216216216
Costco,P027,1690.28,2024-03-25 13:53:09.189189189
BestBuy,P022,789.31,2024-05-09 14:37:50.270270270
