CompetitorName,ProductID,CompetitorPrice,DateChecked
Walmart,P007,1279.31,2024-01-02 07:54:14.054054054
Walmart,P019,120.45,2024-04-19 04:06:29.189189188
Costco,P045,527.92,2024-04-07 20:55:29.729729729
BestBuy,P034,1363.74,2024-05-10 22:32:04.324324324
Walmart,P047,1318.18,2024-05-19 17:53:52.432432432
Target,P002,1853.81,2024-05-12 10:25:35.135135134
Target,P004,1958.38,2024-03-17 14:27:44.864864864
Costco,P014,1058.14,2024-01-13 03:07:23.243243243
Walmart,P025,1309.71,2024-03-30 05:32:58.378378378
Walmart,P036,1348.1,2024-05-24 01:35:08.108108108
Target,P035,1181.75,2024-06-04 04:46:50.810810810
Target,P048,1403.67,2024-04-04 01:12:04.324324324
BestBuy,P046,550.16,2024-04-20 00:02:52.972972972
BestBuy,P012,1458.32,2024-02-28 15:45:35.135135135
Walmart,P050,348.48,2024-04-03 01:16:23.783783783
Costco,P002,925.4,2024-04-11 20:38:11.891891891
Walmart,P042,1808.56,2024-05-05 14:55:08.108108108
Walmart,P028,1190.17,2024-02-12 00:57:39.459459459
Costco,P026,1154.48,2024-04-02 13:18:33.513513513
Costco,P038,472.97,2024-04-03 05:15:40.540540540
BestBuy,P040,219.33,2024-05-13 02:22:42.162162162
Walmart,P012,1923.81,2024-06-14 08:02:52.972972972
BestBuy,P029,703.54,2024-03-19 22:17:39.459459459
Walmart,P005,1963.67,2024-01-07 15:31:10.270270270
Costco,P018,929.07,2024-03-03 03:30:27.027027027
BestBuy,P043,982.69,2024-03-17 10:28:28.108108108
Walmart,P034,1297.67,2024-05-28 17:14:57.297297296
BestBuy,P001,264.03,2024-01-02 03:54:57.297297297
Walmart,P014,1986.89,2024-02-28 11:46:18.378378378
Target,P026,1869.38,2024-02-29 03:43:25.405405405
Walmart,P035,1486.36,2024-02-15 20:41:04.864864864
Walmart,P036,214.39,2024-04-19 08:05:45.945945946
BestBuy,P009,635.04,2024-03-25 17:52:25.945945945
Costco,P022,169.28,2024-02-10 21:02:42.162162162
BestBuy,P022,323.48,2024-01-19 18:38:33.513513513
Costco,P032,1129.03,2024-04-09 00:50:27.027027026
Walmart,P027,1175.73,2024-04-11 12:39:38.378378378
Walmart,P027,1185.95,2024-03-03 19:27:34.054054054
Costco,P038,974.34,2024-04-28 07:26:50.810810810
BestBuy,P020,467.41,2024-04-02 01:20:43.243243243
Walmart,P003,847.57,2024-01-20 06:36:23.783783783
Costco,P031,1170.39,2024-01-30 01:53:52.432432432
Target,P023,1430.09,2024-03-18 06:24:51.891891891
Costco,P013,1986.09,2024-06-14 04:03:36.216216216
BestBuy,P034,1251.0,2024-06-12 20:09:22.162162162
Costco,P035,73.31,2024-02-02 09:39:27.567567567
BestBuy,P003,1589.41,2024-06-02 12:54:03.243243242
BestBuy,P003,1998.99,2024-05-13 02:22:42.162162162
Walmart,P026,110.09,2024-04-30 23:15:18.918918918
Target,P049,1638.24,2024-04-01 01:25:02.702702702
BestBuy,P044,1205.65,2024-04-14 00:28:49.729729729
BestBuy,P048,253.08,2024-02-04 09:30:48.648648648
Costco,P037,1117.34,2024-04-03 01:16:23.783783783
Walmart,P039,1062.45,2024-06-07 20:30:59.459459458
Costco,P023,1806.88,2024-05-24 09:33:41.621621620
Walmart,P019,738.84,2024-05-14 06:17:39.459459458
Walmart,P015,695.25,2024-03-31 09:27:55.675675675
Target,P016,514.15,2024-03-04 11:24:41.081081081
Costco,P006,685.83,2024-04-11 04:41:04.864864864
Costco,P003,932.95,2024-01-31 13:47:23.243243243
BestBuy,P018,1523.64,2024-01-06 07:36:56.216216216
Costco,P030,1487.17,2024-01-22 10:27:01.621621621
Target,P041,1243.32,2024-04-23 07:48:28.108108108
BestBuy,P030,1754.12,2024-06-08 12:28:06.486486486
Target,P044,605.11,2024-04-28 19:24:41.081081080
Walmart,P044,1709.86,2024-06-04 16:44:41.081081080
Target,P030,1099.69,2024-01-27 22:03:14.594594594
Walmart,P014,147.36,2024-05-02 07:09:32.972972972
BestBuy,P009,1502.45,2024-03-11 14:53:41.621621621
Target,P023,718.68,2024-06-11 04:16:34.594594594
Walmart,P020,348.95,2024-01-17 22:46:29.189189189
Target,P039,415.82,2024-03-17 02:29:54.594594594
Walmart,P005,651.64,2024-02-17 00:36:02.162162162
BestBuy,P044,1357.55,2024-06-05 04:42:31.351351350
Costco,P041,150.35,2024-01-12 07:10:59.459459459
Target,P039,126.24,2024-01-14 07:02:20.540540540
Target,P015,1093.76,2024-04-21 11:56:23.783783784
Target,P009,861.14,2024-05-07 02:48:38.918918918
Walmart,P024,198.49,2024-02-22 08:12:58.378378378
BestBuy,P016,71.44,2024-01-11 11:14:35.675675675
Costco,P033,468.69,2024-01-05 15:39:49.189189189
Walmart,P036,1857.12,2024-03-28 05:41:37.297297297
Target,P050,1312.18,2024-01-09 19:21:48.108108108
Target,P023,1209.09,2024-05-25 17:27:55.675675674
Walmart,P026,1103.99,2024-06-09 12:23:47.027027026
Target,P045,1068.57,2024-06-12 16:10:05.405405404
Target,P018,1216.68,2024-05-23 21:35:51.351351350
Target,P050,153.94,2024-01-19 22:37:50.270270270
Costco,P050,1828.29,2024-06-13 20:05:02.702702702
Walmart,P042,1014.63,2024-02-18 16:28:49.729729729
BestBuy,P008,1861.61,2024-02-16 00:40:21.621621621
Costco,P033,65.56,2024-05-31 01:04:51.891891892
BestBuy,P012,686.1,2024-04-23 07:48:28.108108108
Costco,P048,1045.76,2024-01-04 11:44:51.891891891
Walmart,P019,526.06,2024-04-18 20:07:55.675675676
Target,P016,574.22,2024-05-11 06:30:37.837837838
Target,P023,1221.71,2024-06-13 00:08:38.918918918
BestBuy,P020,292.27,2024-02-08 09:13:30.810810810
