TransactionID,CustomerID,ProductID,TransactionDate,Quantity,Price,Discount,TotalAmount
T00001,C061,P016,2024-01-01 00:00:00.000000000,4,980.28,0.04,3764.28
T00002,C077,P030,2024-01-01 03:59:16.756756756,4,1146.3,0.24,3484.75
T00003,C194,P046,2024-01-01 07:58:33.513513513,3,1355.93,0.28,2928.81
T00004,C096,P025,2024-01-01 11:57:50.270270270,4,1554.23,0.18,5097.87
T00005,C184,P021,2024-01-01 15:57:07.027027027,4,540.81,0.16,1817.12
T00006,C173,P011,2024-01-01 19:56:23.783783783,3,628.76,0.26,1395.85
T00007,C094,P040,2024-01-01 23:55:40.540540540,2,1402.81,0.27,2048.1
T00008,C065,P007,2024-01-02 03:54:57.297297297,4,1988.4,0.19,6442.42
T00009,C088,P022,2024-01-02 07:54:14.054054054,4,664.27,0.13,2311.66
T00010,C131,P044,2024-01-02 11:53:30.810810810,4,67.54,0.29,191.81
T00011,C114,P033,2024-01-02 15:52:47.567567567,2,523.18,0.13,910.33
T00012,C135,P007,2024-01-02 19:52:04.324324324,5,1890.29,0.25,7088.59
T00013,C073,P004,2024-01-02 23:51:21.081081081,2,1365.31,0.23,2102.58
T00014,C189,P035,2024-01-03 03:50:37.837837837,5,1001.66,0.12,4407.3
T00015,C086,P017,2024-01-03 07:49:54.594594594,1,1209.06,0.04,1160.7
T00016,C026,P043,2024-01-03 11:49:11.351351351,1,1564.71,0.07,1455.18
T00017,C173,P014,2024-01-03 15:48:28.108108108,5,959.27,0.01,4748.39
T00018,C042,P014,2024-01-03 19:47:44.864864864,3,96.03,0.16,242.0
T00019,C143,P042,2024-01-03 23:47:01.621621621,5,1269.38,0.28,4569.77
T00020,C094,P039,2024-01-04 03:46:18.378378378,5,697.19,0.12,3067.64
T00021,C037,P034,2024-01-04 07:45:35.135135135,1,1210.66,0.22,944.31
T00022,C021,P025,2024-01-04 11:44:51.891891891,2,1743.45,0.18,2859.26
T00023,C159,P001,2024-01-04 15:44:08.648648648,4,341.24,0.16,1146.57
T00024,C182,P006,2024-01-04 19:43:25.405405405,2,1378.67,0.05,2619.47
T00025,C200,P003,2024-01-04 23:42:42.162162162,5,73.17,0.22,285.36
T00026,C181,P011,2024-01-05 03:41:58.918918918,1,376.95,0.03,365.64
T00027,C083,P041,2024-01-05 07:41:15.675675675,1,886.22,0.21,700.11
T00028,C175,P030,2024-01-05 11:40:32.432432432,2,103.91,0.02,203.66
T00029,C027,P045,2024-01-05 15:39:49.189189189,4,1719.83,0.07,6397.77
T00030,C126,P028,2024-01-05 19:39:05.945945945,3,1348.29,0.0,4044.87
T00031,C128,P041,2024-01-05 23:38:22.702702702,1,401.0,0.21,316.79
T00032,C083,P048,2024-01-06 03:37:39.459459459,2,891.98,0.16,1498.53
T00033,C128,P030,2024-01-06 07:36:56.216216216,2,566.63,0.29,804.61
T00034,C049,P016,2024-01-06 11:36:12.972972972,5,1045.3,0.11,4651.59
T00035,C080,P003,2024-01-06 15:35:29.729729729,2,1287.7,0.25,1931.55
T00036,C029,P037,2024-01-06 19:34:46.486486486,3,1807.47,0.08,4988.62
T00037,C164,P022,2024-01-06 23:34:03.243243243,2,267.34,0.16,449.13
T00038,C045,P016,2024-01-07 03:33:19.999999999,5,294.55,0.15,1251.84
T00039,C194,P038,2024-01-07 07:32:36.756756756,4,1917.53,0.24,5829.29
T00040,C095,P043,2024-01-07 11:31:53.513513513,5,1179.44,0.24,4481.87
T00041,C069,P003,2024-01-07 15:31:10.270270270,3,380.86,0.27,834.08
T00042,C144,P005,2024-01-07 19:30:27.027027027,5,183.82,0.26,680.13
T00043,C151,P043,2024-01-07 23:29:43.783783783,1,612.73,0.26,453.42
T00044,C172,P005,2024-01-08 03:29:00.540540540,3,798.49,0.26,1772.65
T00045,C031,P045,2024-01-08 07:28:17.297297297,1,94.84,0.28,68.28
T00046,C106,P023,2024-01-08 11:27:34.054054054,1,1580.07,0.07,1469.47
T00047,C101,P050,2024-01-08 15:26:50.810810810,4,1694.61,0.24,5151.61
T00048,C197,P004,2024-01-08 19:26:07.567567567,3,550.6,0.01,1635.28
T00049,C195,P009,2024-01-08 23:25:24.324324324,1,1876.34,0.25,1407.25
T00050,C019,P016,2024-01-09 03:24:41.081081081,3,958.49,0.28,2070.34
T00051,C057,P009,2024-01-09 07:23:57.837837837,3,265.21,0.29,564.9
T00052,C062,P038,2024-01-09 11:23:14.594594594,3,1205.84,0.07,3364.29
T00053,C034,P020,2024-01-09 15:22:31.351351351,2,1786.77,0.03,3466.33
T00054,C147,P022,2024-01-09 19:21:48.108108108,3,1500.23,0.21,3555.55
T00055,C196,P040,2024-01-09 23:21:04.864864864,2,1413.92,0.25,2120.88
T00056,C133,P035,2024-01-10 03:20:21.621621621,1,1272.96,0.13,1107.48
T00057,C061,P037,2024-01-10 07:19:38.378378378,5,1294.45,0.2,5177.8
T00058,C157,P014,2024-01-10 11:18:55.135135135,5,1434.77,0.15,6097.77
T00059,C169,P006,2024-01-10 15:18:11.891891891,5,1164.65,0.29,4134.51
T00060,C028,P014,2024-01-10 19:17:28.648648648,2,931.42,0.27,1359.87
T00061,C016,P033,2024-01-10 23:16:45.405405405,2,1017.06,0.07,1891.73
T00062,C015,P015,2024-01-11 03:16:02.162162162,1,1657.78,0.09,1508.58
T00063,C051,P019,2024-01-11 07:15:18.918918918,2,1706.19,0.1,3071.14
T00064,C175,P030,2024-01-11 11:14:35.675675675,4,768.5,0.23,2366.98
T00065,C095,P033,2024-01-11 15:13:52.432432432,1,1397.43,0.2,1117.94
T00066,C102,P036,2024-01-11 19:13:09.189189189,2,1378.68,0.1,2481.62
T00067,C101,P035,2024-01-11 23:12:25.945945945,1,313.99,0.12,276.31
T00068,C148,P006,2024-01-12 03:11:42.702702702,5,737.43,0.24,2802.23
T00069,C027,P015,2024-01-12 07:10:59.459459459,3,339.21,0.25,763.22
T00070,C021,P034,2024-01-12 11:10:16.216216216,4,784.8,0.23,2417.18
T00071,C154,P045,2024-01-12 15:09:32.972972972,2,1007.7,0.05,1914.63
T00072,C099,P003,2024-01-12 19:08:49.729729729,1,1155.34,0.27,843.4
T00073,C130,P019,2024-01-12 23:08:06.486486486,2,1192.73,0.16,2003.79
T00074,C083,P042,2024-01-13 03:07:23.243243243,1,1511.76,0.07,1405.94
T00075,C133,P041,2024-01-13 07:06:39.999999999,3,1817.05,0.03,5287.62
T00076,C196,P042,2024-01-13 11:05:56.756756756,4,957.53,0.25,2872.59
T00077,C061,P005,2024-01-13 15:05:13.513513513,2,675.52,0.03,1310.51
T00078,C085,P008,2024-01-13 19:04:30.270270270,5,1872.88,0.23,7210.59
T00079,C019,P033,2024-01-13 23:03:47.027027027,3,1708.36,0.11,4561.32
T00080,C031,P010,2024-01-14 03:03:03.783783783,3,1588.09,0.02,4668.98
T00081,C163,P004,2024-01-14 07:02:20.540540540,5,1473.86,0.04,7074.53
T00082,C149,P013,2024-01-14 11:01:37.297297297,5,1591.48,0.1,7161.66
T00083,C037,P014,2024-01-14 15:00:54.054054054,5,1952.09,0.04,9370.03
T00084,C044,P016,2024-01-14 19:00:10.810810810,1,851.13,0.01,842.62
T00085,C187,P017,2024-01-14 22:59:27.567567567,3,1219.68,0.29,2597.92
T00086,C140,P007,2024-01-15 02:58:44.324324324,2,1502.62,0.27,2193.83
T00087,C108,P042,2024-01-15 06:58:01.081081081,4,1496.3,0.3,4189.64
T00088,C060,P008,2024-01-15 10:57:17.837837837,1,1935.54,0.14,1664.56
T00089,C056,P017,2024-01-15 14:56:34.594594594,3,1964.0,0.26,4360.08
T00090,C091,P017,2024-01-15 18:55:51.351351351,2,1720.34,0.12,3027.8
T00091,C001,P031,2024-01-15 22:55:08.108108108,5,379.18,0.17,1573.6
T00092,C175,P020,2024-01-16 02:54:24.864864864,2,1932.56,0.05,3671.86
T00093,C007,P050,2024-01-16 06:53:41.621621621,2,901.24,0.07,1676.31
T00094,C177,P018,2024-01-16 10:52:58.378378378,4,900.8,0.16,3026.69
T00095,C112,P019,2024-01-16 14:52:15.135135135,4,1263.97,0.13,4398.62
T00096,C085,P014,2024-01-16 18:51:31.891891891,1,385.05,0.04,369.65
T00097,C068,P039,2024-01-16 22:50:48.648648648,4,253.61,0.21,801.41
T00098,C115,P037,2024-01-17 02:50:05.405405405,4,1279.92,0.23,3942.15
T00099,C021,P021,2024-01-17 06:49:22.162162162,5,847.68,0.14,3645.02
T00100,C088,P015,2024-01-17 10:48:38.918918918,3,51.32,0.24,117.01
T00101,C170,P048,2024-01-17 14:47:55.675675675,3,268.67,0.1,725.41
T00102,C030,P018,2024-01-17 18:47:12.432432432,5,141.82,0.07,659.46
T00103,C011,P039,2024-01-17 22:46:29.189189189,3,598.43,0.28,1292.61
T00104,C011,P043,2024-01-18 02:45:45.945945945,2,1769.46,0.22,2760.36
T00105,C047,P040,2024-01-18 06:45:02.702702702,2,601.78,0.28,866.56
T00106,C113,P038,2024-01-18 10:44:19.459459459,5,1714.79,0.12,7545.08
T00107,C161,P002,2024-01-18 14:43:36.216216216,1,955.48,0.13,831.27
T00108,C082,P013,2024-01-18 18:42:52.972972973,5,1186.63,0.18,4865.18
T00109,C107,P001,2024-01-18 22:42:09.729729729,1,93.34,0.03,90.54
T00110,C114,P001,2024-01-19 02:41:26.486486486,5,900.31,0.16,3781.3
T00111,C063,P040,2024-01-19 06:40:43.243243243,3,1693.21,0.06,4774.85
T00112,C197,P045,2024-01-19 10:40:00.000000000,5,1483.95,0.24,5639.01
T00113,C002,P042,2024-01-19 14:39:16.756756756,4,1748.18,0.28,5034.76
T00114,C187,P028,2024-01-19 18:38:33.513513513,4,891.45,0.19,2888.3
T00115,C126,P001,2024-01-19 22:37:50.270270270,3,520.34,0.09,1420.53
T00116,C125,P029,2024-01-20 02:37:07.027027027,5,1407.59,0.11,6263.78
T00117,C178,P013,2024-01-20 06:36:23.783783783,4,1819.52,0.11,6477.49
T00118,C085,P032,2024-01-20 10:35:40.540540540,5,55.45,0.25,207.94
T00119,C195,P043,2024-01-20 14:34:57.297297297,4,596.37,0.17,1979.95
T00120,C156,P049,2024-01-20 18:34:14.054054054,2,1231.57,0.12,2167.56
T00121,C151,P036,2024-01-20 22:33:30.810810810,3,349.89,0.25,787.25
T00122,C079,P045,2024-01-21 02:32:47.567567567,5,716.18,0.21,2828.91
T00123,C039,P040,2024-01-21 06:32:04.324324324,2,365.62,0.28,526.49
T00124,C021,P004,2024-01-21 10:31:21.081081081,5,835.45,0.17,3467.12
T00125,C144,P040,2024-01-21 14:30:37.837837837,1,1948.57,0.02,1909.6
T00126,C164,P019,2024-01-21 18:29:54.594594594,5,222.32,0.13,967.09
T00127,C083,P009,2024-01-21 22:29:11.351351351,3,465.07,0.25,1046.41
T00128,C108,P028,2024-01-22 02:28:28.108108108,2,1605.44,0.13,2793.47
T00129,C189,P034,2024-01-22 06:27:44.864864864,3,654.07,0.21,1550.15
T00130,C002,P015,2024-01-22 10:27:01.621621621,3,1794.87,0.27,3930.77
T00131,C182,P026,2024-01-22 14:26:18.378378378,5,1425.22,0.26,5273.31
T00132,C088,P028,2024-01-22 18:25:35.135135135,3,1068.8,0.11,2853.7
T00133,C001,P018,2024-01-22 22:24:51.891891891,2,1430.14,0.2,2288.22
T00134,C003,P004,2024-01-23 02:24:08.648648648,5,618.32,0.0,3091.6
T00135,C118,P023,2024-01-23 06:23:25.405405405,3,429.19,0.18,1055.81
T00136,C039,P006,2024-01-23 10:22:42.162162162,5,1683.74,0.22,6566.59
T00137,C075,P011,2024-01-23 14:21:58.918918918,2,799.67,0.23,1231.49
T00138,C111,P001,2024-01-23 18:21:15.675675675,1,1510.09,0.19,1223.17
T00139,C001,P026,2024-01-23 22:20:32.432432432,2,1455.37,0.17,2415.91
T00140,C018,P019,2024-01-24 02:19:49.189189189,1,462.7,0.11,411.8
